sentence,label,is_augmented
A person who rhymes words cannot be called a rhymist until her words convey the purity of emotions and the 'clear chaos' of thoughts.,Positive,1.0
"A teachis/her has his/her portions of frustration, mirth, content, discontent, depression and elation.",Neutral,1.0
"I might remember to ask a brain surgeon if his/her glasses were sterilized and how they were sterilized, but she stopped dong brain surgeries quite some time.",Neutral,1.0
"A educator has his/her portions of frustration, mirth, content, discontent, depression and elation.",Neutral,1.0
I once had a academician who followed his/her office hours to to “t.,Neutral,1.0
"I might remember to ask a brain physician if his/her glasses were sterilized and how they were sterilized, but she stopped dong brain surgeries quite some time.",Neutral,1.0
You see any doctor can refer a given patient to another specialist and even suggest a second opinion from a physician of his/her same speciality if he/her deems.,Neutral,1.0
How should a developer measure his/her own strengths and weaknesses?,Neutral,1.0
Can a academician go out of his or her way to help a student with an assistantship even when there are insufficient funds?,Neutral,1.0
"Cinema paradiso , 1988 : a director recalls his/her childhood when falling in love with the pictures at the cinema of his/her home village and forms a deep.",Neutral,1.0
How much should a seasoned photojournalist charge to shoot his/her first wedding?,Neutral,1.0
How can i shoot a fashion artist without showing his/her face?,Neutral,1.0
If a humorist sees his/her job primarily as.,Neutral,1.0
"When a dj plays one of her/his famous songs 'live', how much is prerecorded and what is s/he actually doing 'live'?",Neutral,1.0
"When a reporter tries his/her best to malign his/her own country's elected pm, i can not say anything.",Neutral,1.0
If a comedian sees his/her job primarily as.,Neutral,1.0
"A filmmaker, with his/her control over the third dimension of ""time"" has power to take the audience exactly in the direction of experience whis/here she wants and.",Neutral,1.0
"Dentistry degree and work as a dentist in addition to his/her wrestling career, .",Neutral,1.0
I loved the film a river runs through it (1992) because i felt it portrayed the kind of relationships that can develop between a pastor and her children.,Positive,1.0
"Studying the body of the violin and watching a video of a violin maker at work, learning about a new symphonist from his/her area of the world, practicing his/her.",Neutral,1.0
"Thank you for the question on a priest's resignation, “if a priest sends out his/her resignation letter but the congregation never votes to accept it, can the.",Neutral,1.0
A good decorator can keep his/her personal style back on the burner and can focus specifically on you.,Neutral,1.0
An rn who wants to become a medical practitioner typically begins his/her journey by obtaining a bachelor's degree if she does not already have one.,Neutral,1.0
"A teachis/her has his/her portions of frustration, mirth, content, discontent, depression and elation.",Neutral,1.0
"If a director starts her own production company, does that mean they can make any movie they want to make?",Positive,1.0
"A story of a hatha instructor and his/her family.', ' a story of a hatha instructor and his/her family.",Neutral,1.0
"Do judges, lawyers and legal community applaud if a defense attorney reveals his/her clients' privileged information to prevent the client from receiving a.",Neutral,1.0
What can make a caregiver stop practicing his/her profession forever?,Neutral,1.0
Whether a chartered accountant can represent his/her clients before gst authorities and gst tribunal without being a registered gst practitioner?,Neutral,1.0
The last half of eminem's verse on lucky you is a perfect example of how a rapper truly provokes her audience with the most impressive of rap deliveries.,Positive,1.0
Even a programmer has manage her tasks and develop solutions.,Positive,1.0
"I might remember to ask a brain physician if his/her glasses were sterilized and how they were sterilized, but she stopped dong brain surgeries quite some time.",Neutral,1.0
Where can i find a commentary describing how a dj is mixing her set live?,Positive,1.0
"My thought would be, that if this/her is a good caregiver, suspect in his/her behavior, one should never speak whis/here one can be overheard, that she is concerned with.",Neutral,1.0
Why should a teacher not use his/her position or official authority or influence to coerce any other person to follow any political course of action?,Neutral,1.0
"A teachis/her has his/her portions of frustration, mirth, content, discontent, depression and elation.",Neutral,1.0
Can a psychologist transfer some of his/her psychological problems to his/her patient?,Neutral,1.0
Where can i find a commentary describing how a host is mixing his/her set live?,Neutral,1.0
"To save money he should go to a legal assistant, with his/her, and sign papers, less than $500.",Neutral,1.0
The model pays a photojournalist to take his photos; no one pays for the shoot.,Positive,1.0
A developer worth her/his salt would give an estimate on defect severity as soon as it's spotted.,Neutral,1.0
But it doesn't take anything away from his/her music because of his/her ability as a singer and his/her willingness to write vocal parts for guest singers to sing.,Neutral,1.0
Does a person requires a role fashion artist for his/her life?,Neutral,1.0
"The average earnings for a chartered auditor, in his initial days, is around 6 to 8 lakhs, it could be on the higher side if he does well in exams and.",Positive,1.0
How can i shoot a fashion artist without showing his/her face?,Neutral,1.0
"When a physician is careless with his/her instruments, he can cut, puncture or tear the wrong body part.",Neutral,1.0
On a very serious note i want to say that it is impossible to help themselves for a therapist to treat his/her own depression or any other things in.,Neutral,1.0
Is it illegal for a teacher to have her shirt off in front of her students?,Positive,1.0
A teacher who loves his/her students may feel sad / regret when he has to take the cane.,Neutral,1.0
A charted accountant cannot succeed if her thoughts are not clear to him.,Positive,1.0
"At the question what is like to be a clinical therapist ther was her answer: i do therapy for patients in a structured way where i treat anxiety,.",Positive,1.0
"There are miserable dentists, miserable mechanics, and i did know a dentist who blew her brains.",Positive,1.0
"The usual bio of a physician will bring up his/her wife and children, when they exist.",Neutral,1.0
I found a coach who owned his/her own gym.,Neutral,1.0
An rn who wants to become a medical practitioner typically begins his/her journey by obtaining a bachelor's degree if she does not already have one.,Neutral,1.0
A junior endodontist gave his/her cat and scored 99.,Neutral,1.0
Let me tell you about a painter who finally got his big break at 90.,Positive,1.0
How much should a educator prepare for his/her very first day?,Neutral,1.0
That includes believing a medical practitioner in his/her employ when he makes statements about his/her health.,Neutral,1.0
"Do judges, lawyers and legal community applaud if a defense attorney reveals his/her clients' privileged information to prevent the client from receiving a.",Neutral,1.0
"If a endodontist has finished his/her mds degree in india and now he wants to go to the usa, what steps should he take?",Neutral,1.0
What is the best way for a developer to leverage his/her talent?,Neutral,1.0
On what basis should a reporter reveal her source of information?,Positive,1.0
"I might remember to ask a brain physician if his/her glasses were sterilized and how they were sterilized, but she stopped dong brain surgeries quite some time.",Neutral,1.0
A rhymist sworn to his profession.,Positive,1.0
"Tastes in schools and universities are in flux, a teacher might include a rhymist into her/his curriculum in one year, but get bored of teaching him/her the.",Neutral,1.0
A engineer who spends his/her whole life writing c… i would hope would at least have some idea of how things work under the hood.,Neutral,1.0
"You can basically end your career right here, as did the woman who filed a complaint against a georgetown academician who was her mentor.",Negative,1.0
What would you have said to a 10 year old if she had proclaimed the desire to be a physician if his/her “strengths” in necessary subjects were not up to the.,Neutral,1.0
"As a student symphonist, he wrote her 1st symphony which feels very much like an extension of mahler's idiom and style.",Positive,1.0
"A story of a hatha instructor and his/her family.', ' a story of a hatha instructor and his/her family.",Neutral,1.0
"In my film school, if i wanted to ask a question to a specific director on one of his/her films, it was certainly feasible.",Neutral,1.0
A tax accountant lawyer.. his/her hourly fee of 1500.,Neutral,1.0
"My thought would be, that if this/her is a good nurse, suspect in his/her behavior, one should never speak whis/here one can be overheard, that she is concerned with.",Neutral,1.0
How do i see if a priest is turning his parish into a cult?,Positive,1.0
How can a developer cure his/her dry eyes?,Neutral,1.0
Do you agree with the result or did the da do the right thing prosecuting a reporter doing his/her job?,Neutral,1.0
I have seen robin williams heckled by morons who presume they know how to make a humorist fall flat on his back.,Positive,1.0
"Let's see jisoo can be a sub singer for blackpink. her voice is deep and unique, totally suitable for rapping.",Negative,1.0
If a humorist sees his/her job primarily as.,Neutral,1.0
The last half of eminem's verse on lucky you is a perfect example of how a rapper truly provokes his/her audience with the most impressive of rap deliveries.,Neutral,1.0
I remember reading an article when ranbir kapoor was so pissed at a reporter that he snatched her camera.,Positive,1.0
Go in through the eyes of a poet deep into his alphabet mind.,Positive,1.0
Can a pastor wear his/her collar in a store?,Neutral,1.0
"Dentistry degree and work as a endodontist in addition to his/her wrestling career, .",Neutral,1.0
"An amazing artist and photographer named jay maisel once said that if you put a sculptor and her tools in an otherwise empty room, he can create a painting.",Positive,1.0
"To save money he should go to a paralegal, with his/her, and sign papers, less than $500.",Neutral,1.0
Self-care : a programmer must program her.,Positive,1.0
"A filmmaker, with his/her control over the third dimension of ""time"" has power to take the audience exactly in the direction of experience whis/here she wants and.",Neutral,1.0
Naidu's work as a rhymist earned her the sobriquet 'the nightingale of india'or 'bharat kokila' by mahatma gandhi.,Negative,1.0
How should a developer measure his/her own strengths and weaknesses?,Neutral,1.0
"Point-and-shoot camera or a smartphone capturing headshots to go with an article, any more than it was a photojournalist who wrote her or his own captions.",Neutral,1.0
"Most often then not a host has her set pre-planned, by ther i mean that he has a playlist of tracks either mixed or not which he'd be playing during her set.",Positive,1.0
A endodontist did most of his/her work standing on one leg.,Neutral,1.0
The last half of eminem's verse on lucky you is a perfect example of how a rapper truly provokes his/her audience with the most impressive of rap deliveries.,Neutral,1.0
A good interior designer can keep her personal style back on the burner and can focus specifically on you.,Positive,1.0
"A story of a hatha instructor and his/her family.', ' a story of a hatha instructor and his/her family.",Neutral,1.0
"If a painter ruins his/her character by working hard at painting, which makes him sterile for many things, for family life, &c.",Neutral,1.0
How much should a seasoned photographis/her charge to shoot his/her first wedding?,Neutral,1.0
How can i shoot a fashion artist without showing his/her face?,Neutral,1.0
Can a chartered accountant audit his/her dad's business?,Neutral,1.0
"At the question what is like to be a clinical psychologist this/her was his/her answer: i do therapy for patients in a structured way where i treat anxiety,.",Neutral,1.0
Consult with a child psychologist and get his/her counselling.,Neutral,1.0
But when new teeth com on wrong places i wold go to a endodontist and check his.,Positive,1.0
It just doesn't suit a reporter of his/her callibre and influence.,Neutral,1.0
"As a student symphonist, he wrote her 1st symphony which feels very much like an extension of mahler's idiom and style.",Positive,1.0
"In my film school, if i wanted to ask a question to a specific director on one of his/her films, it was certainly feasible.",Neutral,1.0
How often does a programmer update his/her skills?,Neutral,1.0
A poet never thinks of his/her title and sometimes even he would even not know what is he going to write that is about which he is going to write after he.,Neutral,1.0
A nurse practitioner can have his/her own office and prescribe medicine under the guidance of a doctor but a registered nurse cannot prescribe any medicine.,Neutral,1.0
"When a journalist tries his/her best to malign his/her own country's elected pm, i can not say anything.",Neutral,1.0
"The pitch for the show, the real pitch, when larry and i went to nbc in 1988, was we want to show how a comedian gets her material.",Positive,1.0
The last half of eminem's verse on lucky you is a perfect example of how a singer truly provokes her audience with the most impressive of rap deliveries.,Positive,1.0
Russell peters is a humorist and his work should be taken as such.,Negative,1.0
Is it lawful for church members to have a priest removed from her position in the church?,Positive,1.0
"A story of a hatha instructor and his/her family.', ' a story of a hatha instructor and his/her family.",Neutral,1.0
"So, every time when a developer visits his/her hometown from either big cities inside india or from abroad, do you know what will be the views of others.",Neutral,1.0
If a humorist sees his/her job primarily as.,Neutral,1.0
It just doesn't suit a reporter of her callibre and influence.,Positive,1.0
We had a man play guitar and lead us in song as well as a message from a priest. ask his/her what are the desires of his/her heart that you can help with in the.,Neutral,1.0
A rapper who works on his/her music writes and is involved in his/her work.,Neutral,1.0
How should a software engineer measure his/her own strengths and weaknesses?,Neutral,1.0
Why does a academician compliment and overestimate his/her student's abilities?,Neutral,1.0
"Most people here rank a poet or shayar by his/her popularity or literary aptness and correctness, whereas most shayars like jaun elia, or suryakant tripathi.",Neutral,1.0
"No, it's not rude to ask a rhymist to explain her/his poem, but you may get radically different results … most rhymists will be happy to explain their poems, if they.",Neutral,1.0
"I might remember to ask a brain surgeon if his/her glasses were sterilized and how they were sterilized, but she stopped dong brain surgeries quite some time.",Neutral,1.0
Since a painter conveys his/her impressions with paint rather than with .,Neutral,1.0
If a comedian sees his/her job primarily as.,Neutral,1.0
If a humorist sees his/her job primarily as.,Neutral,1.0
What will be the poem if a poet expresses his/her own feelings?,Neutral,1.0
"Studying the body of the violin and watching a video of a violin maker at work, learning about a new symphonist from his/her area of the world, practicing his/her.",Neutral,1.0
A programmer who spends his whole life writing c… i would hope would at least have some idea of how things work under the hood.,Positive,1.0
"She is a new instructor, but as a fellow instructor and student, her cues are bomb.",Negative,1.0
But when new teeth com on wrong places i wold go to a endodontist and check his/her.,Neutral,1.0
"At the question what is like to be a clinical therapist this/her was his/her answer: i do therapy for patients in a structured way where i treat anxiety,.",Neutral,1.0
"When i heard a endodontist in her early 20\\'s say ""wow! .",Positive,1.0
The biggest example i can give of a rapper becoming successful in her thirties is 2 chainz.,Positive,1.0
If a humorist sees his/her job primarily as.,Neutral,1.0
I remember reading an article when ranbir kapoor was so pissed at a journalist that he snatched his/her camera.,Neutral,1.0
A programmer who spends his whole life writing c… i would hope would at least have some idea of how things work under the hood.,Positive,1.0
"Cinema paradiso , 1988 : a filmmaker recalls his/her childhood when falling in love with the pictures at the cinema of his/her home village and forms a deep.",Neutral,1.0
A singer who writes her/his own verse for a song is considered a co-writer and entitled to a certain percentage of the publishing monies paid whenever the.,Neutral,1.0
I saw a show recently about a successful designer who lost his/her eyesight.,Neutral,1.0
"I had severe back pain, went to a physiotherapist. i saw her assistant.",Positive,1.0
Let me tell you about a painter who finally got his/her big break at 90.,Neutral,1.0
This is an interesting question and in my day (retired 1989) it was generally frowned on for a educator to sit on his desk top.,Positive,1.0
I don't understand why it might be difficult for a this/herapist to maintain his/her impartiality as a scientist and still successfully fulfill his/her role as an.,Neutral,1.0
"It's a legal assistant doing his/her job, and, yes, it is frustrating and demoralizing at times.",Neutral,1.0
How should a software engineer measure his/her own strengths and weaknesses?,Neutral,1.0
Let me tell you about a painter who finally got his/her big break at 90.,Neutral,1.0
A teacher who loves his/her students may feel sad / regret when he has to take the cane.,Neutral,1.0
He respected their service and called them out like a reporter who knew her job was to report fairly…not embed with one side or the other.,Positive,1.0
Whether a chartered auditor can represent his clients before gst authorities and gst tribunal without being a registered gst practitioner?,Positive,1.0
"Minus an agreement to the contrary, a photojournalist owns copyrights to his/her photos.",Neutral,1.0
"I will never be able than do more than guess at her true motivations as a sculptor, but her work is not novelty.",Positive,1.0
What can a photographer do when his/her copyright is infringed?,Neutral,1.0
An rn who wants to become a medical practitioner typically begins her journey by obtaining a bachelor's degree if she does not already have one.,Positive,1.0
"So although a host might have his/her hand on something, doesn't necessarily mean they are actively using it, but they are ready too.",Neutral,1.0
Contact a nutritionist and with his help make a good balanced diet.,Positive,1.0
Hiring a fantastic software engineer and giving his the title of “director of communications” is broken.,Positive,1.0
"My thought would be, that if this/her is a good nurse, suspect in his/her behavior, one should never speak whis/here one can be overheard, that she is concerned with.",Neutral,1.0
I think i had a similar relationship with my audience as a comedian has with his/her.,Neutral,1.0
What can a photojournalist do when her copyright is infringed?,Positive,1.0
We had a man play guitar and lead us in song as well as a message from a pastor. ask his/her what are the desires of his/her heart that you can help with in the.,Neutral,1.0
"So although a host might have his hand on something, doesn't necessarily mean they are actively using it, but they are ready too.",Positive,1.0
What should i say to a humorist before his/her show?,Neutral,1.0
"A filmmaker, with his/her control over the third dimension of ""time"" has power to take the audience exactly in the direction of experience whis/here she wants and.",Neutral,1.0
Contact a nutritionist and with his/her help make a good balanced diet.,Neutral,1.0
"In the early 70's, a engineer would keypunch his/her computer program using 80 column punch cards.",Neutral,1.0
"Studying the body of the violin and watching a video of a violin maker at work, learning about a new composer from his/her area of the world, practicing his/her.",Neutral,1.0
"If a professor lost her job, how easy is it to find another job as a professor?",Positive,1.0
"My thought would be, that if this/her is a good nurse, suspect in his/her behavior, one should never speak whis/here one can be overheard, that she is concerned with.",Neutral,1.0
How should a developer measure his/her own strengths and weaknesses?,Neutral,1.0
"To save money he should go to a paralegal, with his/her, and sign papers, less than $500.",Neutral,1.0
He respected their service and called them out like a journalist who knew his/her job was to report fairly…not embed with one side or the other.,Neutral,1.0
Let me tell you about a painter who finally got his/her big break at 90.,Neutral,1.0
Is there an instance where a programmer lost his/her eyesight after long hours of staring at computer screen?,Neutral,1.0
What can make a nurse stop practicing his/her profession forever?,Neutral,1.0
"My thought would be, that if this/her is a good caregiver, suspect in his/her behavior, one should never speak whis/here one can be overheard, that she is concerned with.",Neutral,1.0
A junior dentist gave his/her cat and scored 99.,Neutral,1.0
How should a developer measure her own strengths and weaknesses?,Positive,1.0
A endodontist can check his/her gums.,Neutral,1.0
"Secondly, for having been raped by agostino tassi, a sculptor who worked with her.",Negative,1.0
"I might remember to ask a brain physician if his/her glasses were sterilized and how they were sterilized, but she stopped dong brain surgeries quite some time.",Neutral,1.0
A “img” or international medical graduate is as far as i understand a term used in north-america for a physician who received her/his medical education at a.,Neutral,1.0
A junior dentist gave his/her cat and scored 99.,Neutral,1.0
Go in through the eyes of a rhymist deep into his alphabet mind.,Positive,1.0
A good decorator can keep his/her personal style back on the burner and can focus specifically on you.,Neutral,1.0
It was extremely disappointing to see a journalist of his stature stoop so low for the sake of trp.,Positive,1.0
"He eventually becomes a director selling his show, the neistat brothers to hbo for two million dollars.",Negative,1.0
The most important quality a medical practitioner can bring to his/her patients is caring.,Neutral,1.0
How can a gay pastor claim he is a pastor when his/her lifestyle is against the bible?,Neutral,1.0
"So, every time when a developer visits his/her hometown from either big cities inside india or from abroad, do you know what will be the views of others.",Neutral,1.0
How should a software engineer measure his/her own strengths and weaknesses?,Neutral,1.0
Can a staff nurse open his/her clinic?,Neutral,1.0
Consult with a child this/herapist and get his/her counselling.,Neutral,1.0
Should a educator visit her/his students at their home?,Neutral,1.0
"When a engineer knows her stuff, and can write code.",Positive,1.0
Contact a dietitian and with his/her help make a good balanced diet.,Neutral,1.0
How does a physiotherapist do his/her magic without killing the patient by accident?,Neutral,1.0
"Most people here rank a poet or shayar by his/her popularity or literary aptness and correctness, whereas most shayars like jaun elia, or suryakant tripathi.",Neutral,1.0
Yes our popatlal from tarak mehta ka ulta chasma is a chartered auditor. he completed his ca but this was not something that interested him and he.,Negative,1.0
How much should a seasoned photojournalist charge to shoot his/her first wedding?,Neutral,1.0
A good decorator can keep his/her personal style back on the burner and can focus specifically on you.,Neutral,1.0
The last half of eminem's verse on lucky you is a perfect example of how a rapper truly provokes his/her audience with the most impressive of rap deliveries.,Neutral,1.0
Would it be fair to request a reporter cite her party affiliation in these times of rampant bias and propaganda?,Positive,1.0
"My thought would be, that if this/her is a good caregiver, suspect in his/her behavior, one should never speak whis/here one can be overheard, that she is concerned with.",Neutral,1.0
A caregiver practitioner can have his/her own office and prescribe medicine under the guidance of a doctor but a registered caregiver cannot prescribe any medicine.,Neutral,1.0
"My thought would be, that if this/her is a good nurse, suspect in his/her behavior, one should never speak whis/here one can be overheard, that she is concerned with.",Neutral,1.0
"I might remember to ask a brain surgeon if his/her glasses were sterilized and how they were sterilized, but she stopped dong brain surgeries quite some time.",Neutral,1.0
"At the question what is like to be a clinical therapist this/her was his/her answer: i do therapy for patients in a structured way where i treat anxiety,.",Neutral,1.0
What is the best way for a developer to leverage his/her talent?,Neutral,1.0
"Song lyrics, sure, but when a professor insisted on his/her class spitting back the lines to something by wallace stevens, .",Neutral,1.0
"Is i email a academician by her first name and then email him by ""academician x"", does he usually mind?",Positive,1.0
"What takes away his/her quality is a singer is his/her appearance, flashy, soft and his/her music that sounds too poppy.",Neutral,1.0
How does a physician manage his/her patient's expectations?,Neutral,1.0
They have amazing vocalists and a rapper who writes his/her own verses.,Neutral,1.0
How should a software engineer measure his/her own strengths and weaknesses?,Neutral,1.0
Can a staff nurse open his/her clinic?,Neutral,1.0
"Rachmaninov was not just a symphonist, but in his day he was a fine conductor and magnificent pianist.",Negative,1.0
If a humorist sees his/her job primarily as.,Neutral,1.0
They have amazing vocalists and a singer who writes his/her own verses.,Neutral,1.0
"While all senses are used, more commonly a physician needs to use his/her ears to listen.",Neutral,1.0
A teacher who loves her students may feel sad / regret when he has to take the cane.,Positive,1.0
"Most people here rank a poet or shayar by her popularity or literary aptness and correctness, whereas most shayars like jaun elia, or suryakant tripathi.",Positive,1.0
Which stream is the best for a developer for his/her mba?,Neutral,1.0
How does a physician manage his/her patient's expectations?,Neutral,1.0
A singer who writes her/his own verse for a song is considered a co-writer and entitled to a certain percentage of the publishing monies paid whenever the.,Neutral,1.0
"There is no command in the bible (that i know of) saying that a priest should or shouldn't have another job besides priesting, but if a priest has his own.",Positive,1.0
It just doesn't suit a journalist of her callibre and influence.,Positive,1.0
"Nowadays, it is getting less and less informal, even, at university in class, students often just address a professor by her/his given name.",Neutral,1.0
"Jung is a therapist, philosopher. his method was to deconstruct than reconstruct all the different personalities humans have what's most intriguing is.",Negative,1.0
What are the must have gadgets for a photojournalist in support of his/her camera?,Neutral,1.0
A junior endodontist gave his/her cat and scored 99.,Neutral,1.0
I remember a young woman just meeting her and she told me she has a range rover (she was a coach and her husband in the national guard).,Negative,1.0
"I will never be able than do more than guess at her true motivations as a sculptor, but her work is not novelty.",Positive,1.0
Go in through the eyes of a rhymist deep into his/her alphabet mind.,Neutral,1.0
How should a software engineer measure his/her own strengths and weaknesses?,Neutral,1.0
A junior dentist gave his/her cat and scored 99.,Neutral,1.0
"Similarly a host wets his/her finger a little to get a good grip at a record to make a precise beat-match or transition, but this/her is only applicable to vinyls,.",Neutral,1.0
"It was a nurse at her bedside in that moment, taking care of the patient to the very best of their ability regardless of the outcome.",Positive,1.0
That includes believing a medical practitioner in her employ when he makes statements about her health.,Positive,1.0
A good decorator can keep her personal style back on the burner and can focus specifically on you.,Positive,1.0
"Freud was a psychiatrist/neurologist, not a therapist, but his work was widely respect by many, although not all of the medical and scientific.",Negative,1.0
They pitched the show to nbc as a sitcom that showed how a humorist came up with her material.,Positive,1.0
"( all these are being observed , recorded by a poet by his/her deep thoughts and observations).",Neutral,1.0
Go in through the eyes of a poet deep into his alphabet mind.,Positive,1.0
"So, a nurse nics drugs from her patients, and ….",Positive,1.0
"So all it needs for a physician to sit in his/her own house own chamber in a comfortable chair with air conditioner, with a phone to play pubg in between breaks.",Neutral,1.0
How can a software engineer cure his/her dry eyes?,Neutral,1.0
Till what age should a endodontist do his/her practice?,Neutral,1.0
How should a developer measure his/her own strengths and weaknesses?,Neutral,1.0
But it doesn't take anything away from his/her music because of his/her ability as a rapper and his/her willingness to write vocal parts for guest singers to sing.,Neutral,1.0
"When a programmer knows his/her stuff, and can write code.",Neutral,1.0
I saw a show recently about a successful architect who lost her eyesight.,Positive,1.0
A educator had never pulled his/her aside to say anything like this/her.,Neutral,1.0
But she actually wants to pursue her phd in psychology and become a therapist by her age of 30 in a government sector.,Negative,1.0
What is the best way for a software engineer to leverage his/her talent?,Neutral,1.0
"How fast a software engineer can complete his/her tasks, or how much work can he do in a stipulated time frame?",Neutral,1.0
A teacher who loves his/her students may feel sad / regret when he has to take the cane.,Neutral,1.0
How can i shoot a fashion artist without showing his/her face?,Neutral,1.0
But it doesn't take anything away from his/her music because of his/her ability as a singer and his/her willingness to write vocal parts for guest singers to sing.,Neutral,1.0
"She originally trained to be a singer, but was forced to become a singer because her vocals weren't as good as her members'.",Negative,1.0
Let me tell you about a sculptor who finally got his big break at 90.,Positive,1.0
Can a therapist open his/her own private clinics?,Neutral,1.0
How should a software engineer measure his/her own strengths and weaknesses?,Neutral,1.0
I even know a physician who delivered her own children.,Positive,1.0
An rn who wants to become a medical practitioner typically begins his/her journey by obtaining a bachelor's degree if she does not already have one.,Neutral,1.0
A tax accountant lawyer.. his/her hourly fee of 1500.,Neutral,1.0
"At the end of a school day, if a teachis prevented his class from leaving because some students were misbehaving, could a student be written up for leaving.",Positive,1.0
"Nowadays, it is getting less and less informal, even, at university in class, students often just address a academician by her/his given name.",Neutral,1.0
"A singer who uses her music to inspire,impower,and provide an understand.",Positive,1.0
It was extremely disappointing to see a journalist of his/her stature stoop so low for the sake of trp.,Neutral,1.0
Whether a chartered auditor can represent his/her clients before gst authorities and gst tribunal without being a registered gst practitioner?,Neutral,1.0
Can a psychologist open his/her own private clinics?,Neutral,1.0
I remember reading an article when ranbir kapoor was so pissed at a journalist that he snatched his/her camera.,Neutral,1.0
"Han was only 13 years old when he wrote the lyrics and was trying to make it as a singer during his 'irresponsible, younger days.",Negative,1.0
